id,place,tweets,sentiment,longitude,latitude
1.59E+18,"{'fullName': 'Medan Petisah, Indonesia', 'name': 'Medan Petisah', 'type': 'city', 'country': 'Indonesia', 'countryCode': 'ID'}","jagatio merupakan platforn dunia virtual pertama di indonesia yang terhubung dengan kota nyata yakni ibu kota nusantara ikn 
sumatera utara",0,98.6449288,3.6016199
1.59E+18,"{'fullName': 'General Affair Sub Department ( The Official Of ITCF )', 'name': 'General Affair Sub Department ( The Official Of ITCF )', 'type': 'poi', 'country': 'Indonesia', 'countryCode': 'ID'}","info  jagat nusantara tampilkan dunia virtual ibu kota negara baru

aceh mendukung",1,95.32926,5.55099
1.59E+18,"{'fullName': 'Adi Guna Group', 'name': 'Adi Guna Group', 'type': 'poi', 'country': 'Indonesia', 'countryCode': 'ID'}","news  jagat nusantara tampilkan dunia virtual ibu kota negara baru

aceh mendukung",1,95.34471989,5.549163215
1.59E+18,"{'fullName': 'East Borneo, Indonesia', 'name': 'East Borneo', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}",halu,0,113.836655,-2.409401
1.59E+18,"{'fullName': 'East Borneo, Indonesia', 'name': 'East Borneo', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}",penipuan ko semakin masif yasetiap hari ada aja,-1,113.836655,-2.409401
1.59E+18,"{'fullName': 'Cimanggis, Indonesia', 'name': 'Cimanggis', 'type': 'city', 'country': 'Indonesia', 'countryCode': 'ID'}",hayo ngacung yang nolak dan juga yang nyinyirin pembangunan ibu kota negara nusantara,-1,106.842899,-6.449577
1.59E+18,"{'fullName': 'Wonokromo, Indonesia', 'name': 'Wonokromo', 'type': 'city', 'country': 'Indonesia', 'countryCode': 'ID'}",selamat datang di ibu kota nusantara di sini kita akan berkumpul berkreasi bersosialisasi dengan saudarasaudara kita ucap presiden dalam video tersebut,1,112.720983,-7.310218
1.59E+18,"{'fullName': 'Kota Jambi, Jambi', 'name': 'Kota Jambi', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}","memberi nama ibu kota baru dengan nusantara karena kata tersebut sudah dikenal sejak dulu
jambi",0,103.571625,-1.684741
1.59E+18,"{'fullName': 'Kota Jambi, Jambi', 'name': 'Kota Jambi', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}","payung hukum ikn uu nomor  tahun  tentang ibu kota negara 

jambi dukung pembangunan ikn nusantara",1,103.571625,-1.684741
1.59E+18,"{'fullName': 'Riau Islands, Indonesia', 'name': 'Riau Islands', 'type': 'admin', 'country': 'Indonesia', 'countryCode': 'ID'}","pahami inilah alasan mengapa ibu kota negara baru di beri nama nusantara





 
kepulauan riau",0,103.282837,-0.691604
