id,date,tweets,processed_tweets,negative,neutral,positive
1.58686e+18,10/30/2022,sensasi berada di ibu kota nusantara gimana ya rasanya,sensasi gimana ya,0,0,1
1.58686e+18,10/30/2022,dengan metaverse bernama jagat nusantara anda bisa merasakan sensasi berada di ibu kota nusantara,metaverse bernama jagat merasakan sensasi,0,0,1
1.58686e+18,10/30/2022,metaversa memberikan sensasi berada di ibu kota nusantara ini bernama jagat nusantara,metaversa sensasi bernama jagat,0,0,1
1.58686e+18,10/30/2022,meski pembangunan ikn baru tahap awal melalui metaverse di ikn yang bernama jagat nusantara kita bisa merasakan sensasi berada di ibu kota nusantara ikn,tahap metaverse bernama jagat merasakan sensasi,0,0,1
1.58686e+18,10/30/2022,meskipun pembangunan ikn baru tahap awalnamun kalian bisa merasakan sensasi berada di ibu kota nusantara melalui metaverse bernama jagat nusantara,tahap awalnamun merasakan sensasi metaverse bernama jagat,0,0,1
1.58686e+18,10/30/2022,metaverse baru jagat nusantara yang diluncurkan dapat memberikan sensasi berada di ibu kota nusantara,metaverse jagat diluncurkan sensasi,0,0,1
1.58686e+18,10/30/2022,metaverse di ikn itu bernama jagat nusantara masyarakat dapat merasakan sensasi berasa di ibu kota nusantara,metaverse bernama jagat masyarakat merasakan sensasi berasa,0,0,1
1.58686e+18,10/30/2022,melalui metaverse jagat nusantara kalian bisa merasakan sensasi berada di ibu kota nusantara,metaverse jagat merasakan sensasi,0,0,1
1.58686e+18,10/30/2022,nama metaverse di ibu kota nusantara atau ikn adalah jagat nusantara,nama metaverse jagat,0,1,0
1.58686e+18,10/30/2022,meski pembangunan tahap bary namun bisa merasakan sensasi berada di ibu kota nusantara,tahap bary merasakan sensasi,0,0,1
1.58686e+18,10/30/2022,wah keren sekali melalui metaverse jagat nusantara kita bisa merasakan sensasi di ibu kota nusantara semoga pembangunan ikn berjalan baik,keren metaverse jagat merasakan sensasi semoga berjalan,0,0,1
1.58686e+18,10/30/2022,kita bisa merasakan sensasi berada di ibu kota nusantara melalui metaverse bernama jagat nusantara,merasakan sensasi metaverse bernama jagat,0,0,1
1.58686e+18,10/30/2022,wah keren banget guys kita bisa ngerasain sensasi berada di ibu kota nusantara ikn dengan metaverse jagat nusantara,keren banget guys ngerasain sensasi metaverse jagat,0,0,1
1.58672e+18,10/30/2022,"peran tni al sangat penting dalam pengawalan serta menjaga keamanan di wilayah perairan ibu kota nusantara
tetap semangat dan maju terus  jaga lautan indonesia kita tercinta","peran tni al pengawalan menjaga keamanan wilayah perairan nusantara
tetap semangat maju  jaga lautan tercinta",0,1,0
1.58669e+18,10/30/2022,"ibu kota nusantara ikn dirancang sebagai kota yang inklusif untuk semua lapisan masyarakat

untuk itu mari bersamasama torehkan sejarah membangun peradaban baru ikn sebagai kota dunia untuk semua","dirancang inklusif lapisan masyarakat

untuk mari bersamasama torehkan sejarah membangun peradaban dunia",0,0,1
1.58669e+18,10/30/2022,"ppu  satgas ops nusantara polda kaltim regu a melaksanakan patroli sambang kamtibmas serta pengamanan di beberapa titik penting di kawasan ibu kota negara ikn
selengkapnya baca disini","ppu  satgas ops polda kaltim regu a melaksanakan patroli sambang kamtibmas pengamanan ikn
selengkapnya baca",0,1,0
1.58666e+18,10/30/2022,"gambaran ibu kota negara ikn yang bernama jagat nusantara sangat menarik bukan 

kompas juga menginfokan bahwa untuk memainkan platform ini tidak ada biaya sepeserpun jadii siapa saja bisa merasakan sensasi berada di ikn nusantara","gambaran bernama jagat menarik 

kompas menginfokan memainkan platform biaya sepeserpun jadii merasakan sensasi",0,0,1
1.58664e+18,10/30/2022,pemerintah membangun bendungan sepaku semoi untuk penyediaan air baku di ibu kota nusantara ikn,membangun bendungan sepaku semoi penyediaan air baku,0,1,0
1.58664e+18,10/30/2022,meme celetukan ngocol warganet soal ibu kota baru nusantara,meme celetukan ngocol warganet,1,0,0
1.58663e+18,10/30/2022,jokowi buka ruang kreasi bagi generasi muda hingga seniman di ikn ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas ucap jokowi saat peluncuran jagat nusantara,buka ruang kreasi generasi muda seniman ayo generasi muda mari membangun bersamasama inovasi kreativitas peluncuran jagat,0,0,1
1.58662e+18,10/30/2022,pemerintah menyiapkan tenaga kerja di ibu kota nusantara ikn melalui pelatihan,tenaga kerja pelatihan,0,1,0
1.58662e+18,10/30/2022,"menteri ketenagakerjaan ida fauziyah mengungkapkan kebutuhan tenaga kerja untuk pembangunan ibu kota nusantara ikn akan disesuaikan

jokowi gaspoll penyerapan tenaga kerja","menteri ketenagakerjaan ida fauziyah kebutuhan tenaga kerja disesuaikan

jokowi gaspoll penyerapan tenaga kerja",0,1,0
1.5866e+18,10/30/2022,"menteri pupr basuki hadimuljono menyampaikan bendungan sepaku semoi diproyeksikan sebagai infrastruktur penyediaan kebutuhan air baku dan pengendalian banjir di kawasan ibu kota nusantara ikn

jokowi gaspoll infrastruktur","menteri pupr basuki hadimuljono bendungan sepaku semoi diproyeksikan infrastruktur penyediaan kebutuhan air baku pengendalian banjir ikn

jokowi gaspoll infrastruktur",0,1,0
1.5866e+18,10/30/2022,ibu kota negara ikn akan pindah ke nusantara yang terletak di penajam paser utara kaltim bila sudah resmi pindah bagaimana nasib dki jakarta,pindah terletak penajam paser utara kaltim resmi pindah nasib dki jakarta,1,0,0
1.5866e+18,10/30/2022,"ikn itu ibu kota nusantara
terun nusantara itu negara mana ya","nusantara
terun ya",0,1,0
1.58659e+18,10/30/2022,"asosiasi pengemudi ojek online garda indonesia mendukung pembangunan ibu kota negara ikn nusantara di kalimantan timur

pembangunan ikn nusantara membutuhkan  tenaga kerja konstruksi garda indonesia siap bekerjasama dgn otorita ikn kemnaker ri dan pupr","asosiasi pengemudi ojek online garda mendukung timur

pembangunan membutuhkan  tenaga kerja konstruksi garda bekerjasama dgn kemnaker ri pupr",0,0,1
1.58657e+18,10/30/2022,"presiden joko widodo secara resmi meluncurkan platform metaverse yang terhubung dengan ibu kota nusantara ikn di djakarta theatre jakarta jumat 

pray for itaewon rest in peace kanjuruhan pare pagii","resmi meluncurkan platform metaverse terhubung djakarta theatre jakarta jumat 

pray for itaewon rest in peace kanjuruhan pare pagii",0,1,0
1.58656e+18,10/30/2022,gimana rasanya jadi warga metaverse ibu kota negara baru jagat nusantara pt,gimana warga metaverse jagat pt,0,1,0
1.58656e+18,10/30/2022,"presiden joko widodo resmi meluncurkan metaverse yang terhubung dengan ibu kota nusantara ikn jagat nusantara tepat di hari sumpah pemuda jumat  

 via","resmi meluncurkan metaverse terhubung jagat sumpah pemuda jumat  

 via",0,1,0
1.58656e+18,10/30/2022,presiden joko widodo resmi meluncurkan metaverse yang terhubung dengan ibu kota nusantara ikn jagat nusantara tepat di hari sumpah pemuda jumat,resmi meluncurkan metaverse terhubung jagat sumpah pemuda jumat,0,1,0
1.58655e+18,10/30/2022,presiden jokowi gas poll infrastruktur menteri basuki menerangkan bendungan sepaku simoi dibangun untuk penyediaan air baku di ibu kota nusantara dan balikpapan,gas poll infrastruktur menteri basuki menerangkan bendungan sepaku simoi dibangun penyediaan air baku balikpapan,0,1,0
1.58655e+18,10/30/2022,presiden joko widodo menelusuri jalur logistik ikn dengan menggunakan kri escolar untuk menuju pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara kalimantan timur yang merupakan lokasi ibu kota nusantara,menelusuri jalur logistik kri escolar pelabuhan cita sabut kecamatan sepaku kabupaten penajam paser utara lokasi,0,1,0
1.58654e+18,10/30/2022,jagat memungkinkan anda untuk melanjutkan perjalanan ke ibu kota nusantara,jagat melanjutkan perjalanan kota nusantara,0,1,0
1.58653e+18,10/30/2022,kementerian pupr mulai membangun infrastruktur dasar pendukung kawasan inti pusat pemerintahan kipp ikn nusantara ibu kota baru begini penampakannya,kementerian pupr membangun infrastruktur dasar pendukung inti pusat pemerintahan kipp penampakannya,0,1,0
1.58653e+18,10/30/2022,wakil menteri pariwisata dan ekonomi kreatif angela tanoesoedibjo dan kepala badan otorita ibu kota nusantara bambang susantono,wakil menteri pariwisata ekonomi kreatif angela tanoesoedibjo badan bambang susantono,0,1,0
1.58652e+18,10/30/2022,para seniman tanah air juga dapat berkreasi dan menikmati hasilnya seperti konser musik kita juga bisa berolahraga akan menjadi pengalaman bersama yang seru ayo generasi muda mari kita membangun ibu kota nusantara bersamasama melalui inovasi dan kreativitas ungkapnya,seniman air berkreasi menikmati hasilnya konser musik berolahraga pengalaman seru ayo generasi muda mari membangun bersamasama inovasi kreativitas,0,0,1
1.58652e+18,10/30/2022,ayo ikut saya masa depan kita mulai dari sini selamat datang di ibu kota nusantara di sini kita akan berkumpul berkreasi bersosialisasi dengan saudarasaudara kita ucap presiden dalam video tersebut,ayo selamat berkumpul berkreasi bersosialisasi saudarasaudara video,0,0,1
1.58652e+18,10/30/2022,setelah itu layar menampilkan presiden jokowi versi avatar yang kemudian mengajak para peserta memasuki ibu kota nusantara ikn versi digital dalam video tersebut presiden jokowi juga mengajak para generasi muda untuk bersatu bertepatan dengan momen hari sumpah pemuda,layar menampilkan versi avatar mengajak peserta memasuki versi digital video mengajak generasi muda bersatu bertepatan momen sumpah pemuda,0,1,0
